KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Topics,CommitteeID
18,2011,06,21,4,0,2,1,8,9,413637,110,פניות ציבור לגבי השירות הניתן בחברות התעופה לאוכלוסיות בעלי צרכים מיוחדים- ישיבת מעקב לישיבה שהתקיימה ב- 8/2/2011,668
18,2011,06,29,3,1,5,7,64,3,413924,112,פניות ציבור בנוגע למחירי תרכובות המזון לתינוקות (תמ"ל)- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 1/3/2011,668
18,2011,05,17,0,0,20,1,5,4,411230,101,פניות ציבור בנוגע לשירות הלקוחות בחברות הסלולר: שירות טלפוני זמני המתנה בנקודות השירות מעקב וטיפול אחר גניבת מכשירים. ,668
18,2011,07,05,0,0,3,5,263,3,414593,113,פניות ציבור בנוגע לתעריפי הטיפול הפסיכולוגי,668
18,2011,05,18,0,0,0,1,9,5,411197,103,פניות ציבור בנוגע לבעיית החנייה עבור נכים בחניון הכותל המערבי. ,668
18,2011,02,28,0,1,6,1,5,3,407895,93,פניות ציבור לגבי ביטוחי רכב לנכים,668
18,2011,01,18,1,0,66,7,5,5,405102,84,פניות ציבור לגבי התנהלות המוסד לביטוח לאומי בנוגע לקביעת קריטריונים להגדרת הכנסה על פי חוק הבטחת הכנסה. ,668
18,2011,05,31,0,0,0,0,0,2,412423,105,פניות ציבור של תושבי שכונת הר שמואל שבגבעת זאב לוועדה לפניות הציבור,668
18,2011,04,11,1,0,3,3,0,2,410196,99,פניות ציבור בנושא הכשל בתחבורה הציבורית בימי פורים והערכות התחבורה הציבורית לקראת חוה"מ פסח התשע"א,668
18,2011,06,05,0,0,0,2,2,0,412735,107,פניות ציבור לגבי החוף הנפרד בתל-אביב,668
18,2011,04,06,0,0,5,6,0,1,410062,98,פניות ציבור של עמותות לגבי מועד הגשת בקשות לתמיכה. ,668
18,2012,01,30,3,0,0,5,131,1,430139,143,פניות ציבור לגבי סיוע משרד הבריאות לילדים נכים בעזרים רפואיים,668
18,2012,03,05,0,0,10,0,0,0,428597,152,פניות ציבור לגבי רכישת רכב לנכים בחברות ליסינג- ישיבת מעקב וסיכום. הישיבות הקודמות בנושא התקיימו ב- 28.11.2011 וב- 4.1.2012. ,668
18,2012,03,05,0,0,0,0,0,2,432513,153,פניות ציבור בנוגע לבקשות להשכרת רכב לנכים מוגבלי תנועה,668
18,2012,03,20,1,0,0,3,44,2,433298,157,פניות ציבור לגבי הארכת רשיונות זמניים למטפלים נפגעי חוק מקצועות הבריאות. ,668
18,2012,01,15,0,1,3,31,4,3,427989,139,סיור וישיבת ועדה ב"בית גנאור" קרית אתא,668
18,2012,02,28,0,0,5,1,2,1,431142,150,פניות ציבור לגבי השימוש בכרטיס ה"רב קו" בחברות התחבורה הציבוריות- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 17.1.2012,668
18,2012,01,17,0,0,14,3,0,8,428834,140,פניות ציבור לגבי השימוש בכרטיס ה"רב קו" בחברות התחבורה הציבוריות. ,668
18,2011,11,21,0,0,0,4,3,0,424654,130,פניות ציבור בנושא הסעות נכים בוגרים למרכזי יום. ,668
18,2011,10,24,0,0,2,3,2,24,422293,125,פניות ציבור בנושא ההערכות המוקדמת לנסיעות לקבר רחל לקראת יום פטירתה שיחול בע"ה ביא' בחשון התשע"ב,668
18,2011,06,15,0,0,2,1,159,2,413109,109,פניות ציבור בנושא היתר לנשים לעבוד כסנטריות בבתי חולים.,668
18,2011,07,27,0,0,5,1,0,0,419317,120,פניות ציבור לגבי משך זמן הטיפול של הרשם לענייני ירושה בבקשות המוגשות למימוש.,668
18,2011,07,13,0,0,0,5,3,2,415071,116,פניות ציבור בעקבות סגירתה של העיר העתיקה לרכבים פרטיים והעדר שאטלים,668
18,2011,03,08,1,1,5,9,116,3,408016,95,פניות ציבור בנושא הוועדות הרפואיות של המוסד לביטוח לאומי. ,668
18,2011,08,03,0,0,1,2,1,0,420141,123,המלצת ועדת הכנסת לחילופין בראשות הוועדה המיוחדת לפניות הציבור בהשתתפות יושב ראש הכנסת- ח"כ ראובן (רובי) ריבלין ויו"ר ועדת הכנסת - ח"כ יריב לוין.,668
18,2009,07,13,0,0,12,26,1,18,327321,16,פניות ציבור לגבי סגירתה של מכללת אלבאום ישיבת המשך לישיבת הוועדה שהתקיימה בנושא ב-19/5/2009.,668
18,2009,07,21,0,0,18,0,0,0,325021,18,פניות ציבור בעניין קריסתה של חברת השירות "תדיראן אמפא" והשירות הניתן על ידי חברת קריסטל למבוטחי "תדיראן אמפא" ישיבת המשך לישיבת הוועדה שהתקיימה בנושא ב- 27/5/2009,668
18,2010,05,17,0,0,0,0,0,4,352138,56,פניות ציבור בדבר ההחלטה לסגור כבישים עירוניים ובין עירוניים לצרכי עבודות תחזוקה. ,668
18,2009,07,21,0,0,0,2,2,15,327711,17,1. פניות ציבור בנושא כביש 38- שער הגיא- בית שמש.  2. פניות ציבור בנושא כביש 444- כביש אלעד,668
18,2010,11,01,2,0,2,0,0,9,392577,69,פניות ציבור לגבי שמירת הבטיחות באתרי עבודה בכבישים- דיון במסגרת יום המחויבות לבטיחות בדרכים,668
18,2010,06,08,0,0,31,7,1,1,352552,59,1. פניות ציבור לגבי רכישת רכב לנכים בחברות ליסינג.2. החזר תשלום אגרת רישוי לנכה בעל רכב ליסינג פרטי. ,668
18,2010,04,28,1,0,3,0,1,1,346070,52,פניות ציבור לגבי איתור נכסים באגף רישום מקרקעין (טאבו) במשרד המשפטים,668
18,2010,11,02,0,0,18,8,14,2,392480,70,פניות ציבור לגבי מציאת פתרונות דיור לנכים הסובלים ממוגבלות פיזית,668
18,2010,12,08,0,0,14,1,71,0,402133,77,פניות ציבור בנוגע לשירותי האמבולנס של מגן דוד אדום- הסדרת חובות העבר של החייבים- ישיבת מעקב לישיבות הוועדה שהתקיימו בנושא ב-9/12/2009 וב- 16/6/2010,668
18,2011,02,21,1,0,15,8,0,0,406682,90,פניות ציבור לגבי קביעת דרוג התשלום במעונות יום משפחתונים וצהרונים בשנת הלימודים תשע"א. ישיבת מעקב לישיבות שהתקיימו בנושא ב- 1/12/2010 וב- 1/2/2011.,668
18,2011,02,01,0,0,0,1,2,4,406018,87,פניות ציבור לגבי התקלה שארעה בחברה בזק ב-25 בינואר 2011. ,668
18,2010,12,28,0,0,8,3,0,1,403820,81,פניות ציבור בנושא המענה הטלפוני של רשות המיסים בישראל- במע"מ במס הכנסה ובמס שבח.,668
18,2011,02,01,1,0,16,7,0,2,405606,86,פניות ציבור לגבי קביעת דרוג התשלום במעונות יום משפחתונים וצהרונים בשנת הלימודים תשע"א- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 1 בדצמבר 2010,668
18,2011,02,23,0,0,3,12,0,3,407213,91,פניות ציבור לגבי נוהל הגשת ובדיקת תלונות במשרד התחבורה. ,668
18,2011,05,24,2,0,0,1,145,0,411838,102,פניות ציבור לגבי קדימות בתורים לילדים לבדיקות דחופות ולניתוחים.,668
18,2010,10,13,0,0,3,0,1,3,388031,65,א. פניות ציבור לגבי איתור נכסים ברשות התאגידים- רשם החברות במשרד המשפטים.ב. פניות ציבור לגבי איתור נכסים באגף רישום מקרקעין (טאבו) במשרד המשפטים- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 28 באפריל 2010. ,668
18,2010,12,14,0,1,3,108,0,1,402969,78,פניות ציבור לגבי התנהלות משרד הרישוי- 1. עלות העמדת רכב המורה למבחן נהיגה. 2. הקמת מאגר מידע לכלי פרטיים לעיון הציבור. ישיבת מעקב לישיבות הוועדה שהתקיימו ב- 3 באוגוסט 2009 וב- 4 בנובמבר 2009. ,668
18,2011,01,11,1,0,1,11,2,1,404585,83,פניות ציבור לגבי השרות הניתן על ידי חברת דן בבני ברק ובפתח תקווה. ,668
18,2011,02,15,2,0,12,16,32,3,406857,89,1. פניות ציבור לגבי התנהלות הרשות לזכויות ניצולי השואה לניצולים.2. פניות ציבור בנושא השימוש של ניצולי שואה בכרטיסי חיוב נטענים- ישיבת המשך לישיבת הוועדה שהתקיימה בנושא ב- 4 בינואר 2011.,668
18,2010,03,03,0,0,1,1,322,4,339170,49,פניות ציבור לגבי תשלום בחניוני בתי החולים עבור מבקרים מקרבה ראשונה של חולים שמאושפזים תקופה ממושכת.,668
18,2010,11,30,2,0,5,14,2,6,396471,75,פניות ציבור לגבי נגישות בתחבורה הציבורית בכלל וברכבת ישראל בפרט,668
18,2010,07,07,0,0,29,4,8,3,366510,63,פניות ציבור לגבי דיירים שמשתתפים בפרוייקט "פינוי בינוי",668
18,2010,03,16,0,0,0,0,0,0,342741,51,פניות ציבור לגבי תשלומי חשבונות בסניפי הדואר,668
18,2011,07,19,0,0,0,54,3,0,415621,117,א. פניות ציבור בנוגע לקריטריונים למימון הסעות ילדים משולבים בחינוך הרגיל והמשך מימון ההסעות מחודש יולי.ב. פניות ציבור לגבי דרישת השלטון המקומי למימון הסעות עבור בוגרים למרכזי שיקום בסך קצבת הניידות שלהם.,668
18,2011,03,01,0,0,7,2,29,1,407903,94,פניות ציבור בנוגע למחירי תרכובות מזון לתינוקות (תמ"ל),668
18,2011,01,04,1,0,19,9,19,0,403838,82,1. פניות ציבור לגבי משך זמן המענה של הרשות לזכויות ניצולי השואה לניצולים.  2. פניות ציבור בנושא השימוש של ניצולי שואה בכרטיסי חיוב נטענים  ,668
18,2011,07,26,0,0,9,2,13,2,419356,119,פניות ציבור לגבי סיוע לנזקקים בתשלום חשבונות המים,668
18,2012,01,23,0,1,2,10,1,25,429496,141,פניות ציבור לגבי מנגנון הפיצויים לתושבי מגרון,668
18,2010,06,16,0,0,15,3,121,0,352512,61,פניות ציבור בנוגע לשירותי האמבולנס של מגן דוד אדום- יישום ההסדר החדש והטיפול בחובות העבר- ישיבת מעקב לישיבת הוועדה שהתקיימה בנושא ב-9/12/2009. ,668
18,2009,06,23,1,0,4,6,221,2,325985,13,פניות ציבור בנוגע לשירותי האמבולנס של מגן דוד אדום. ישיבת מעקב לישיבה שהתקיימה ב- 23 ביולי 2007.,668
18,2010,12,01,0,0,18,7,0,2,400211,76,א. פניות ציבור לגבי קביעת דרוג התשלום במעונות יום משפחתונים וצהרונים בשנת הלימודים תשע"א.ב. המחסור במעונות יום ובמשפחתונים.,668
18,2011,02,08,2,0,1,3,29,4,406230,88,פניות ציבור לגבי השרות שניתן בחברות התעופה לאוכלוסיות בעלי צרכים מיוחדים,668
18,2011,04,12,0,0,3,8,539,3,410016,100,פניות ציבור לגבי תשלום בחניוני בתי החולים עבור מבקרים מקרבה ראשונה של חולים שמאושפזים תקופה ממושכת- ישיבת מעקב וסיכום לישיבות שהתקיימו בנושא ב- 3/3/2010 וב- 13/7/2010,668
18,2010,06,28,0,0,0,7,0,1,363350,62,פניות ציבור לגבי השירות הניתן על ידי חברת סופרבוס במודיעין עילית,668
18,2010,11,15,0,0,4,2,347,2,396838,73,פניות ציבור לגבי שמירה על זכויות המבוטחים בביטוחים משלימים (שב"ן) בקופות החולים,668
18,2011,03,23,0,0,15,4,0,4,408921,97,פניות ציבור לגבי קביעת דרוג התשלום במעונות יום משפחתונים וצהרונים בשנת הלימודים תשע"א. ישיבת מעקב לישיבות שהתקיימו בנושא ב- 1/12/2010 ב-1/2/2011 וב- 21/2/2011. ,668
18,2012,01,31,0,0,1,5,0,1,428599,144,פניות ציבור בנושא הסעות נכים בוגרים למרכזי יום- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 21.11.2011,668
18,2012,01,04,0,0,6,0,0,3,425736,136,פניות ציבור לגבי רכישת רכב לנכים בחברות ליסינג. ישיבת מעקב לישיבה שהתקיימה בנושא ב- 28/11/2011,668
18,2009,07,07,0,0,1,1,4,0,326765,15,פניות ציבור לגבי השירות הניתן במוקד הטלפוני של המוסד לביטוח הלאומי. ישיבת מעקב לישיבות הוועדה שהתקיימו ב-5/12/07 25/2/08 ב-21/7/08 וב- 30/7/08,668
18,2009,12,01,0,0,2,25,65,4,332029,33,א. פניות ציבור לגבי נהלי המכון הרפואי לבטיחות בדרכים בביצוע בדיקת כשירות. ב. פניות ציבור בנושא זימון נכים שאין להם הגדרת נכות צמיתה לועדות ניידות ורפואיות חוזרות,668
18,2010,11,08,4,0,13,21,231,1,393990,71,פניות ציבור של הורים על מצוקותיהם כהורים לפגים לאחר השחרור מהפגיה,668
18,2011,08,02,0,0,32,2,0,0,419902,122,פניות ציבור לגבי גביית חובות העבר על ידי רשות השידור,668
18,2011,11,15,0,1,12,2,1,1,423934,129,פניות ציבור של אזרחים  על השרות הניתן להם על ידי תאגידי המים - אפשרות מתן הנחות לאוכלוסיות נזקקות. ,668
18,2011,08,01,0,0,23,7,2,1,419829,121,פניות ציבור בנושא דרוג התשלום במעונות יום משפחתונים וצהרונים- הפקת לקחים והערכות לקראת פתיחת שנת הלימודים התשע"ב,668
18,2011,11,01,0,0,10,0,5,7,422469,126,פגישת הכרות בין יו"ר הוועדה לפניות הציבור ח"כ דוד אזולאי וחבריה לבין נציבי פניות ציבור בגופים ממלכתיים. ,668
