KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Mks,Topics,CommitteeID
16,2003,12,02,0,0,0,0,0,0,65694,104,100;744;747;112;209;725,ייצוג הולם בשירות המדינה לאנשים עם מוגבלות,25
16,2003,12,03,0,0,0,2,0,3,65695,105,100;744;137;206;112;209,חוק שיפוט בענייני התרת נישואין (מקרים מיוחדים וסמכות בינלאומית) (תיקוני חקיקה) התשס"ה-2005,25
16,2003,12,03,1,0,0,9,1,9,65697,30,736;91,איתור נערות בסיכון הבורחות ממוסדות,35
16,2003,12,01,0,0,0,1,1,0,65703,102,206,צו העיריות (עבירות קנס) (תיקון) התשס"ג - עירית תל-אביב -יפו,25
16,2003,12,01,8,0,0,0,1,26,65705,25,737;206,הברחות סמים מהרשות הפלשתינית לישראל.,33
16,2003,12,01,0,1,41,6,2,1,65712,99,737;743;209;50;58,הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 (מיועדת רק לצורך חלוקת הצעת החוק)  ; הצעת חוק המים (תיקון מס' ___) (שינויים בענין רשות המים הארצית) התשס"ד-2004 [סעיפים 90 (2) ו- 91 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003] ; סעיפים 90-91 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - תיקון חוק המים ; סעיף 95 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - תיקון חוק הפיקוח על מצרכים ושירותים,23
16,2003,12,10,0,5,5,0,0,2,65728,110,35;58;203;208;209;50;730;732;733;734,תוכניות הפיתוח של משרד התחבורה (בדגש על הרכבת וכביש 6),23
16,2003,12,08,14,0,14,1,1,5,65729,103,737;203;717,מחירי החלב בישראל ובעולם,23
16,2003,12,02,0,0,0,0,0,0,65735,103,100;744;747;112;209;725,קביעת מספר השופטים בבית המשפט העליון,25
16,2003,12,09,0,0,3,0,0,1,65741,108,209;58,תקנות מקורות אנרגיה (יעילות אנרגטית וסימון אנרגטי במזגנים) (תיקון) התשס"ד-2003,23
16,2003,11,30,4,0,2,2,2,1,65742,95,121;740;742;713;729,הענקת התואר "העיר הלבנה" לעיר ת"א ע"י ארגון אונסק"ו העולמי,24
16,2003,12,09,0,0,7,1,0,1,65743,109,748,תקנות מינהל מקרקעי ישראל (מאגר המידע) התשס"ג-2003,23
16,2003,12,08,0,0,25,2,2,1,65744,105,743;203;50;723;726;58,הצעת חוק רשות הדואר (תיקון מס'...)(בנק הדואר) התשס"ד-2004 [חלק מסעיף 63(49) להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 ] ; סעיפים 79-63 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - תיקון פרק י''א: דואר,23
16,2003,12,08,0,0,22,0,2,0,65748,108,137;747;209;734,דין וחשבון על פעילות לשכות ההוצאה לפועל,25
16,2003,12,09,14,0,2,2,6,29,65749,109,100;197;201;13;206;112;209;19;697;218;91;220;29,ישיבה חגיגית לציון יום זכויות האדם הבינלאומי,25
16,2003,12,09,3,0,0,2,0,4,65750,110,100;8;137;744;201;747;13;206;112;209;114;19;725;697;58;92;735,קביעת מספר השופטים בבית המשפט העליון,25
16,2003,12,10,0,0,1,2,4,32,65751,111,100;7;201;112;697;29,זכויות האדם בישראל - תמונת מצב לשנת 2003,25
16,2003,12,08,0,0,2,75,0,2,65753,114,,הסעות תלמידים לבית ספר בתפן - הצעת ח"כ רשף חן ל"דיון מהיר",27
16,2003,12,08,0,0,0,65,0,2,65754,115,197;230;742;13;756;126,השבתת בי"ס חטיבת ביניים אלון תל-שבע ותנאי הלימודים בבית הספר - הצעת ח"כ ג'מאל זחאלקה ל"דיון מהיר",27
16,2003,12,08,0,0,6,9,1,0,65756,32,,הפעלת משפחתונים במגזר הערבי,35
16,2003,12,09,8,0,0,6,8,4,65793,28,,העליה הדרסטית בשימוש בסמים בקרב סטודנטים בישראל,33
16,2003,12,17,0,0,22,6,0,0,65797,113,209;58;123;741,סעיף 95 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - תיקון חוק הפיקוח על מצרכים ושירותים,23
16,2003,12,15,0,0,12,3,0,0,65799,111,58,הצעת חוק המים (תיקון מס' ___) (שינויים בענין רשות המים הארצית) התשס"ד-2004 [סעיפים 90 (2) ו- 91 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003] ; סעיפים 90-91 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - תיקון חוק המים,23
16,2003,12,16,0,0,12,3,0,2,65800,1,228;740;7;757;218,תוכניות משרד ראש הממשלה לשיקום הערים לוד-עכו,81
16,2004,01,13,0,104,0,0,9,13,65895,16,216;92;740,טיפול משרד הבטחון בזיהום מי תהום,79
16,2004,01,06,0,0,6,12,25,1,65896,124,230;203;748;209;58;734,צו הגבלת הפרסומת למוצרי טבק לעישון (שינוי נוסח אזהרה) (תיקון מס' 2) התשס"ג-2003 ; צו הגנת הצרכן (סימון טובין) (תיקון) התשס"ד-2003 בדבר איסור השימוש במילה "לייט" ודומיה על מוצרי הטבק ; הצעת חוק העונשין (תיקון - איסור מכירת מוצרי טבק לקטין) התשס"ג-2003,23
16,2004,01,07,0,1,3,1,0,6,65897,125,58;743,הצעת חוק משק הדלק (הגבלת מכירה לתחנות תדלוק הפועלות שלא כדין) התשס"ג-2003 ; חוק משק הדלק (איסור מכירת דלק לתחנות תדלוק מסוימות) התשס"ה-2005,23
16,2003,12,24,0,0,15,0,0,0,65903,121,209;58;123;743,הצעת חוק המים (תיקון מס' ___) (שינויים בענין רשות המים הארצית) התשס"ד-2004 [סעיפים 90 (2) ו- 91 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003] ; סעיפים 90-91 להצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה) התשס"ד-2003 - תיקון חוק המים,23
16,2003,12,31,0,1,1,77,0,0,65907,130,126;742,פרוייקט אומץ - הצעת ח"כ יולי תמיר לדיון מהיר,27
16,2004,01,01,0,0,7,54,0,2,65908,131,713;697;126;742,דיון במרכז השלטון המקומי - בדיקת החינוך בשלטון המקומי עקב גזרות התקציב,27
16,2003,12,30,0,1,1,1,0,0,65911,119,,,24
16,2003,12,29,0,0,0,2,3,7,65912,2,121;212,בניה בלתי חוקית בלוד,81
16,2004,01,14,0,0,5,0,0,3,65913,131,230;13;757;218;92,קרקעות המדינה במזרח ירושלים,24
16,2003,12,29,6,0,7,1,4,34,65914,118,728;201;749;7,חוק לתיקון פקודת בתי הסוהר (מס' 28) התשס"ד-2004,24
16,2003,12,29,3,0,1,14,2,108,65918,123,137;697;100;209,חוקה בהסכמה רחבה,25
16,2003,12,29,0,0,19,0,0,2,65919,122,112;137;747,תקנות ההוצאה לפועל (אגרות שכר והוצאות) (תיקון) התשס"ב - 2002 (תיקון) התשס"ג - 2003,25
16,2003,12,30,0,0,39,0,1,2,65920,124,100;744;206;112;697,חוק לתיקון פקודת המסים (גבייה) (מס' 5) התשס"ד-2004,25
16,2003,12,30,0,0,0,0,0,2,65921,125,744;206;112;753;209,הצעת חוק העונשין (תיקון - איסור מכירת משקאות משכרים לקטין) התשס"ג-2003 ; חוק העונשין (תיקון מס' 79) התשס"ד-2004,25
16,2004,01,18,0,0,0,0,0,0,65925,None,,סיור הוועדה למסיל"ה,34
16,2003,12,29,0,0,10,28,1,4,65926,128,64;35;197;717;753;723;727;697;126;91;220;222;734,המשבר החינוכי ברשויות המקומיות - סכנה לשביתה,27
16,2003,12,29,4,0,1,1,5,1,65929,36,,האם לאשר את סם הקאנביב כחוקי במדינה ישראל? - ישיבת המשך ב"אילנות",33
16,2003,12,31,1,0,4,1,8,70,65935,120,739;100;7;201;749;729,חוק לתיקון פקודת בתי הסוהר (מס' 28) התשס"ד-2004,24
16,2004,01,05,16,0,1,122,0,4,65947,133,,חינוך על יהדות התפוצות במסגרת תכנית הלימודים,27
16,2004,01,05,0,0,0,0,1,40,65950,123,26;36;7,אבטחת תחבורה ציבורית,24
16,2004,01,06,3,1,20,7,1,45,65952,124,64;740;230;203;92,מימדי האלימות והפשיעה בישראל,24
16,2004,01,06,0,0,0,25,0,0,65954,134,197;742;713;13;756;126,אישור החלטות דיון מהיר בנושא: השבתת ביה"ס חט"ב אלון תל שבע ותנאי הלימודים בביה"ס הצעת ח"כ ג'אמל זחאלקה,27
16,2004,01,07,4,2,21,225,3,5,65955,137,742,חינוך לאיכות סביבה,27
